,type,category,review,star
1,LG 에어로타워,별점,"평소 먼지나 반려동물 털 알레르
평소 먼지나 반려동물 털 알레르기, 비염이 심해서 공기청정기를 알아보고 있었는데,
TV 광고를 통해서 LG 에어로타워가 눈에 들어오더라고요!
그렇게 신혼집 입주를 하고 추가적으로 구입한 공기청정기라서, 정말 열심히 성능, 가격 비교해보고 선택했어요.
요즘 가장 핫한 공기청정기라서 구입을 하고 나서, 배송이 조금 지연된다는 연락을 받았는데 다행히도 7일만에 받아보았어요!
설치기사님께서 오셔서 정말 친절하게 설치 + 안내를 해주셔서 더 기분 좋게 받아볼 수 있었답니다!
역시 비주얼 + 성능 중에 가장 TOP인 .
저희 신혼집에 정말 잘 어울리는 !
저희 집에서는 음식할 때 환풍기가 제대로 작동이 안되서 냄새 빼는데 시간이 정말 오래걸렸었는데,
에어로타워를 들이고 나니깐 .
온풍까지 되는 기종을 선택했더니 요즘처럼 추운 겨울엔 아주 딱인 것 같아요.
어플 다운 받아서 UP가전 업그레이드부터 .
정말 만족 그 자체인 LG 에어로타워 :-) 고민마시고 구입하세요!!",평점5
2,LG 에어로타워,별점,"디자인은 예뻐요 방송에서 보고 예뻐서 구매했어요 집에공기청청기 있는데도 구매했어요.더운 바람 숨이 막혀써요 냄새가 나요 새제품이라 냄새가 좀 심하네요 기사님이 하고 시간은 마추냐고
디자인은 예뻐요 방송에서 보고 예뻐서 구매했어요 집에공기청청기 있는데도 구매했어요.더운 바람 숨이 막혀써요 냄새가 나요 새제품이라 냄새가 좀 심하네요 기사님이 하고 시간은 마추냐고 좀 애먹었어요 코로나로 힘든 시국에 해피콜 미리 받고 기사님들이 출발 하실 때 하루 전날 내일주문하신 물건이 가니 몇 시간 좀 미리 말씀해 주셨으면 감사하겠어요 제품을 판매 하는 것도 좋지만 소비자 마음도 이해 해주세요 약속은 거사남이오후 3시 40분애 방문 한다고 하길래천안에서 택시 타고 와서 설치 잘 했습니다 다음부터는 하루 전날 시간 약속 해주시길 바랍니다 감사합니다 기사님도 수고 많으셨어요?",평점5
3,LG 에어로타워,별점,"1. 아이 목욕후 쓸려고 일부러 온풍기능 추가한건데...
1. 아이 목욕후 쓸려고 일부러 온풍기능 추가한건데..

성능이 드라이기보다 못하네요. 절대 안따듯하고 미지근한바람만 나옵니다. 개선이 필요!

2. 바퀴가 있는줄 착각하고 샀네요. ㅜ

엄청 무거워서 이동못함이요. !

3. 공청기이지만 선풍기 용도로도 쓸수있을줄알았는데 선풍기와 비교해 바람이 많이 약해요. 바람나오는 폭도 무지 좁고해서 무리네요.

4. 공청기 기능은 필터도 무지 작고해서 작은방이나 최대 안방정도 커버가능하네요. 전 알고샀지만 모르시고 거실에서 사용할 용도로는 사지마세요.

* 전체적으로 디자인빼고는 만족하기 힘든제품.",평점5
4,LG 에어로타워,별점,"1/28 배송 예정이었는데 일찍 와서 좋았어요! 기사님께서 시간 정확히 맞춰서 빠른 설치해주시고 가셨습니다. 복도 가장 끝집이라 아침에 일어나면 너무너무 추워서 ㅠㅠ 온풍기를 들일
1/28 배송 예정이었는데 일찍 와서 좋았어요! 기사님께서 시간 정확히 맞춰서 빠른 설치해주시고 가셨습니다.
복도 가장 끝집이라 아침에 일어나면 너무너무 추워서 ㅠㅠ 온풍기를 들일 생각을 하고 있었는데 작년 12월에 에어로타워 광고를 보고 이거다 싶었죠!! 가전은 무조건 엘지잖아요? +_+ 디자인에 기능에 혹해서 결제해버렸어요.
엘지 띵큐 앱이랑 연동하면 전원 켜는 시간도 설정이 되니 아침 일어나는 시간에 맞춰서 거실을 따끈하게 데워놓을 생각에 너무 신나요!
집에서 한 잔하다가 동영상 리뷰 올리면 5000포인트 준다는 얘기 듣고 동영상 찍으려고 갑자기 일어나는데 ㅋㅋ 술을 쏟고 영상 찍었더니 집안 냄새가 나쁨으로 찍혔어요. 환기 시킨다고 창문 열었더니 미세먼지 안좋은 것도 바로바로 감지하네요!
여러분 ,, 고민은 진심 배송만 늦출 뿐입니다. 얼른 집에 들이십셔!!",평점5
5,LG 에어로타워,별점,"공기 순환과 에어 서큘레이터
집에 실링팬을 달고 싶었지만 스프링 클러와 간섭 등으로 설치를 못하던중 에어로 타워라면 공기 순환에 도움도 되고 겨울에 온풍기로 활용도 가능 할거 같아 사계절 활용도가 높을것 같아 구매 하였습니다예상처럼 에어컨을 틀고 에어로 타워를 가동해서 공기를 순환 시키니 너무 좋네요 또 온도와 습도 기능이 내장 되어 있으니 조건에 따라 에어컨이나 재습기 가동도 할수 있어 좋습니다구매를 주말에 했는데 바로 배송 와서 깜놀 했네요",평점5
6,LG 에어로타워,별점,"온풍기능 아주 좋습니다. 겨울에
온풍기능 아주 좋습니다. 겨울에도 쾌적하게 실내공기를 정화하면서 온도 조절까지 되니 좋네요 ~ 다만 앱으로 새부적인 기능들을 컨트롤 할 수 없는게 아쉽네요~ 예를 들어 몇시부터 몇시까지는 온풍으로 사용하다가 몇시부터는 공기를 위로 보낸다던지~ 아마 앱이 업데이트되면 지원되겠죠 디자인은 깔끔하니 예쁩니다. 배송도 다른 쇼핑몰에 비해 굉장히 빨리 온 편이라 만족합니다.",평점5
7,LG 에어로타워,별점,"아주 맘에 들어요 ( 조용하고 온풍 기능 되구요 )
인기 모델이라서 주문 후 1달은 걸린다고 했는 데, 다행히 일찍 수령LG 기사분이 직접 일정 잡아서 설치해 주심온풍 기능이 정말 좋네요 ( 은은하고 조용한 소음에 따뜻한 바람, 다만 전기세는 각오해야 함 )그런데, Wifi 기능을 찾지 못하겠어요 ( ThinQ와 연결 못하고 있음 : 이걸 알아야 필터 교체 시기도 알 수 있는 데 )",평점5
8,LG 에어로타워,별점,"공기청정기를 바꾸고 싶어 고민하
공기청정기를 바꾸고 싶어 고민하고있었는데,
때마침 lg에서신제품이 출시가되었네요.
원래 lg퓨리케어 사고싶었었는데
디자인도 에어로타워가 더 깔끔하고 이뻐서
에어로타워로 구매했습니다.
젤 ~
온풍기능까지있어 겨울에는 좀더 따뜻하게 지낼수있을껏 같아요
그런데 회전각이 오른쪽 왼쪽 차이가나는데 원래그런건진 잘 모르겠네요.",평점5
9,LG 에어로타워,별점,"엘지 오브제 제품들이 넘 예쁘고
엘지 오브제 제품들이 넘 예쁘고 어디다 두어도 가전이 아닌 가구처럼 조화롭게 느껴져서 큰 맘 먹고 샀네요~
온풍기 틀면 막 따뜻해지는 느낌은 아니지만 워낙 겨울거실이 추워서 약간의 도움은 됩니다~청정도, 미세먼지,냄새,초미세먼지로 세분화해서 보여주는것도 믿음이 가네요~전 만족스럽습니다~^^",평점5
10,LG 에어로타워,별점,"첫 째방이 쫌 추운편이라 꽁꽁 싸
첫 째방이 쫌 추운편이라 꽁꽁 싸매고 재우다가 도저히 안되겠다 싶어서 찾아보니 공기청정기도 되고 온풍도 사용할 수 있는 에어로타워가 딱인 거 같아서 주문했어요.
추울때는 아이방에 사용했다가 날씨가 풀리면 거실에서 공기청정기로 사용하면 될 것 같더라구요.
사용해보니 진짜 돈 1도 안아까운 인생템입니다! 추천해요 :)",평점5
