,name,type,ingredient,abv,volume,description,imageURL
1,1000억 유산균 막걸리,탁주,"국내산쌀, 누룩",5%,750ml,"1000억 유산균 막걸리는 국순당이 최초로 선보인 유산균 강화 막걸리다. 식물성 유산균이 막걸리 한 병(750mL)에 1000억 마리 이상이 들어 있다. 시중에 판매되는 일반 생막걸리 한 병(자사 생막걸리 750mL 기준)당 1억 마리 가량의 유산균이 들어 있는 것과 비교하면 약 1000배 많이 들어있고, 일반 유산균음료 보다 약 100배 많이 들어 있다.",https://thesool.com/common/imageView.do?targetId=PR00000170&targetNm=PRODUCT
2,1932 새싹땅콩+햅쌀/흑미,탁주,"새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",6%,"500ml,900ml","당해연도 고시히카리쌀과 진도산 흑미를 주 원료로 사용하였다. 새싹땅콩의 항산화 물질인 ‘레즈베라트롤’이다량 함유 되었있고, 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성감미료는 사용하지 않았으며, 미생물 발효 조절방식으로 냉장보관 시 신선한 맛과 주질을 유지할 수 있다. 고급한정식당, 호텔, 백화점 위주로 납품되어지고 있다.",https://thesool.com/common/imageView.do?targetId=PR00000210&targetNm=PRODUCT
3,2017년 햅쌀로 빚은 첫술,탁주,국내산 햅쌀,7%,750ml,"2017년 햅쌀로 빚은 첫술은 매년 가을철, 그 해 수확한 햅쌀로 빚은 프리미엄 생 막걸리로 계절 한정 상품으로 선보인다. 올해 수확한 경북 안동 햅쌀을 원료로 빚어, 생 막걸리 특유의 탄산감이 살아있으면서도 부드럽고 신선한 쌀의 향과 맛을 느낄 수 있다.,",https://thesool.com/common/imageView.do?targetId=PR00000211&targetNm=PRODUCT
4,DOK막걸리,탁주,"정제수, 맵쌀, 찹쌀, 누룩, 효소, 효모",6%,"1,000ml",DOK막걸리는 우리 누룩 특유의 발효 특성을 연구하여 출시한 막걸리로 막걸리 본연의 맛을 낼 수 있도록 노력한 결과입니다. 잘 익은 참외와 멜론의 달콤하고 상큼한 과육향을 싱그럽고 경쾌하게 즐길 수 있는 프리미엄 막걸리입니다.,https://thesool.com/common/imageView.do?targetId=PR00000669&targetNm=PRODUCT
5,G12 골디락스,탁주,"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",12%,500ml,"싱그러운 과일향과 부드러운 목 넘김으로 마시기 딱 좋은 막걸리. Ice 공법으로 차갑게 발효하고 더 차갑게 숙성했다. 담백한 맛의 멥쌀과 감칠맛 나는 찹쌀을 오랜 연구개발 끝에 최적의 비율로 사용하여 소박한 단맛을 구현하였고, 여기에 12℃ 저온에서 30일간의 발효와 12℃에서 30일간의 숙성 과정을 거친 깔끔한 막걸리이다. 제품명 G12에서 12는 알코올 도수 12도를 의미하고, G는 마시기 딱 좋은 조화로운 맛의 균형이라는 제품 특성을 담을 수 있도록 Goldilocks의 첫 글자를 따서 이름을 지었다. Goldilocks는 영국의 전래동화 &amp;#039;골디락스와 세 마리 곰&amp;#039; 주인공 소녀의 이름에서 유래한 용어로 뜨겁지도 차갑지도 않은 적당한 상태를 의미한다.",https://thesool.com/common/imageView.do?targetId=PR00000707&targetNm=PRODUCT
6,가야 프리미엄 막걸리,탁주,김해 쌀(100%),6%,750ml,풍부한 일조량은 받고 자란 김해 쌀로 만든 가야는 감미료를 전혀 넣지 않았음에도 꽃 향기 등이 나고 새콤달콤한 맛을 느낄 수 있습니다.,https://thesool.com/common/imageView.do?targetId=PR00000056&targetNm=PRODUCT
7,가평 잣 생막걸리,탁주,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소 등",6%,750ml,"가평의 잣을 막걸리에 그대로 담아 특유의 고소한 맛으로 목 넘김이 부드럽고, 은은한 향까지 느낄 수 있어 누구나 부담 없이 마시고 느낄 수 있는 막걸리다. 일반 막걸리는 완전 발효가 되지 않는 미숙주가 많아 상품 상태에서도 발효가 활발하기 때문에 병을 흔들면 가스로 병이 터지거나, 넘치는 현상이 일어난다. 하지만 가평 생 막걸리는 저온 장기숙성방식으로 완전 발효를 실현하여 완숙주로 출시되어 흔들어도 터지거나 넘치지 않는다. 단맛, 신맛, 바디감, 목넘김 등 맛이 튀지 않고 적당하다. 쌀 막걸리의 가벼운 바디감과 부드러운 목넘김이 좋은 막걸리다.",https://thesool.com/common/imageView.do?targetId=PR00000158&targetNm=PRODUCT
8,걍즐겨,탁주,"멥쌀,찹쌀,누룩,프렌치세종,석류,히비스커스",8%,600ml,"발효시 석류즙과 히비스커스를 더해 술에 부족한 산미, 과실향을 보충했으며 베리향이 강조된 탁주이다.",https://thesool.com/common/imageView.do?targetId=PR00000147&targetNm=PRODUCT
9,고향생막걸리,탁주,국내산 쌀,6%,750ml,100% 국내산 쌀과 303m 천연지하암반수를 사용하여 자연발효 후 온도와 습도가 일정한 지하저온저장고에서 장기저온숙성시켜 맛이 부드럽고 숙취가 없으며 각종 영양분과 효모가 살아있는 막걸리이다.,https://thesool.com/common/imageView.do?targetId=PR00000241&targetNm=PRODUCT
10,고향인삼막걸리,탁주,"국내산쌀90%, 국내산인삼10%",6%,750ml,국내산 쌀과 303m 천연지하암반수를 사용하여 자연발효 후 온도와 습도가 일정한 지하저온저장고에서 장기 저온 숙성시켜 맛이 부드럽고 숙취가 없으며 인천강화의 고려인삼농축액을 첨가해 발효시켜 인삼특유의 맛과 향이 적당히 녹아있다.,https://thesool.com/common/imageView.do?targetId=PR00000248&targetNm=PRODUCT
