"name","type","ingredients"
"가는파잡채","한식","가는파,간장,굵은파,돼지고기,마늘,생강,생강,소금,식용유,양파,참기름,청주,후춧가루"
"가래떡꼬치","한식","가래떡,간장,고추장,꼬치,다진마늘,브로콜리,설탕,적파프리카,참기름,토마토케첩,황파프리카"
"가지김치","한식","가지,고춧가루,다진마늘,다진생강,다진파,부추,설탕,소금,액젓"
"가지된장찜","한식","가지,고춧가루,다진마늘,다진파,돼지고기,된장,멸치,물,밀가루,소금,양파,참기름,청고추,홍고추,후춧가루"
"가지두부스테이크","퓨전","가지,굴소스,굴소스,다진고추,다진식파,두부,매실액,아몬드,에멘탈 치즈가루"
"가지말이구이","퓨전","가지,당근,무순,버섯,버터,사과,소고기,소금"
"가지무침과 호박잎쌈밥","한식","가지,간장,다진마늘,밥,소금,쌈장,양파,쪽파,통깨,풋고추,호박잎"
"가지쇠고기볶음","한식","가지,간장,깨소금,다진마늘,대파,설탕,소금,쇠고기,참기름,청고추,청주,홍고추"
"가지와마른새우무침","한식","가지,깨소금,다진마늘,다진파,마른새우,소금,식용유,진간장,참기름"
"가지튀김","한식","가지,간장,계란,깨소금,돼지고기,마요네즈,맛술,머스터드,밀가루,빵가루,설탕,설탕,소금,참기름,후춧가루"
"간장","한식","마른고추,메주콩,물,소금,숯"
"간장게장","한식","간장,고춧가루,깨소금,꽃게,다진파,마늘,물,생강,설탕,참기름,채썬마늘,채썬생강,청고추"
"간장떡볶이","한식","[쇠고기양념] 간장,가래떡,간장,다진마늘,당근,설탕,설탕,양파,참기름,참기름,채썬쇠고기,청피망,표고버섯,후춧가루"
"갈비구이","한식","간장,갈비,깻잎,대파,마늘,물엿,배즙,상추,생강즙,설탕,양파,양파즙,월계수잎,육수,참기름,청주,통깨,후춧가루"
"갈비떡볶이","한식","가래떡,간장,깨소금,꽃상추,다진마늘,다진파,설탕,쇠고기,참기름,피망,후춧가루"
"갈비찜","한식","간장,계란,깨소금,다진마늘,다진파,당근,대파,무,밤,배,설탕,쇠고기,은행,잣,참기름,청주,표고버섯,홍고추,후춧가루"
"갈비탕","한식","국간장,다진마늘,다진파,무,물,쇠고기,참기름,후추"
"갈치구이","한식","갈치,레몬,밀가루,소금,후춧가루"
"갈치무조림","한식","간장,갈치,감자,고추장,고춧가루,깨소금,대파,마늘,무,물,생강,설탕,참기름,홍고추"
"갈치조림","한식","간장,갈치,고운고춧가루,굵은고춧가루,다진마늘,다진생강,당근,대파,된장,무,물엿,설탕,소금,애호박,양파,정종,청고추,홍고추,후춧가루"
"감동젓무김치","한식","감동젓,고춧가루,낙지,다진마늘,다진생각,무,미나리,밤,배,북어,생굴,설탕,소급,실파,절인 배추"
"감자고추채볶음","한식","간장,감자,설탕,소금,식용유,참기름,청고추,홍고추,흰후춧가루"
"감자국수","한식","감자,계란노른자,넛맥,밀가루,버터,베이컨,사우어크라우트,소금,양파,파슬리,후춧가루"
"감자수제비","한식","감자,국간장,멸치,물,밀가루,소금,실파,애호박,양념장,참기름,홍고추"
"감자조림","한식","감자,깨소금,꽈리고추,멸치,물엿,식용유,진간장,청주"
"감자탕","한식","간장,감자,고춧가루,대파,돼지고기,마늘,물,생강,소금,술,청정원맛선생,후춧가루"
"갓김치","한식","갓,고춧가루,깨소금,마늘,멸치젓,무,물,밀가루,생강,소금,실파"
"계란말이","한식","계란,다시마,다진마늘,다진파,물,소금,식용유,후춧가루"
"계란말이주먹밥","한식","계란,다시마,당근,말린 표고버섯,미나리,밥,설탕,소금,소금,식용유,식초,오이"
"계란찜","한식","계란,다진파,당근,물,설탕,소금,시금치,옥수수통조림,청정원맛선생,후춧가루"
"고구마강정","한식","건포도,고구마,시럽,튀김기름,호박씨"
"고구마잎무침","한식","고구마잎,깨소금,다진마늘,다진파,소금,참기름"
"고구마줄기볶음","한식","고구마줄기,국간장,깨소금,다진마늘,다진파,들기름,설탕,소금,참기름"
"고들빼기김치","한식","갓,고들빼기,고추,고춧가루,깨소금,다진마늘,다진생강,대추,멸치액젓,밤,설탕,실파"
"고등어김치조림","한식","고등어,고춧가루,다진마늘,다진생강,물,배추김치,설탕,진간장,파"
"고등어된장조림","한식","간장,고등어,다시마국물,대파,된장,무,미림,설탕,술"
"고등어무조림","한식","간장,고등어,고추장,고춧가루,다진마늘,다진파,대파,무,물,생강즙,설탕,실고추,청주,후춧가루"
"고등어살튀김과소스","한식","간장,고등어,녹말,마른고추,물,미림,생강,설탕,소금,식용유,청주"
"고등어양념구이","한식","간장,고등어,고운고춧가루,굵은고춧가루,깨소금,대파,마늘,물엿,생강,실파,양파,정종,참기름,청고추,홍고추"
"고등어조림","한식","간장,고등어,고운고춧가루,굵은고춧가루,당근,대파,된장,마늘,무,물엿,생강,설탕,소금,애호박,양파,정종,팽이버섯,풋고추,홍고추,후춧가루"
"고등어튀김케첩조림","한식","간장,고등어,녹말,마늘,생강,설탕,실파,양파,육수,토마토케찹,피망"
"고추부각","한식","고추,설탕,소금,식용유,찹쌀가루"
"고추장","한식","고춧가루,메주콩,멥쌀,소금,엿기름,찹쌀가루"
"고추장닭강정","퓨전","계란,고추기름,고추장,꿀,녹말가루,다진마늘,닭,맛술,맛술,물,물엿,소금,식초,우유,카레가루,토마토케첩,튀김가루,호두,후춧가루"
"고추장스파게티","퓨전","고추장,김치,다진마늘,물,설탕,소금,스파게티,식용유,식용유,양송이버섯,양파,토마토케첩,호두,호박,흰후춧가루"
"고추장아찌","한식","간장,고추,물,설탕,식초,간장,물,생강,설탕,소금,청고추"
"골뱅이무침","한식","고추장,고춧가루,골뱅이통조림,깨소금,다진마늘,당근,대파,샐러리,설탕,소면,식초,양파,오이,진간장,참기름"
"골뱅이볶음","한식","골뱅이,깨소금,녹말,대파,마늘,설탕,양파,진간장,참기름,청피망,표고버섯,홍피망"
"곰탕","한식","국간장,국수,다진마늘,다진파,대파,마늘,무,소금,쇠고기,양,진간장,참기름,후추"
"곱창전골","한식","간장,고추장,고춧가루,곱창,다진파,당근,대파,마늘,물,미나리,밀가루,생강,소금,쑥갓,양,양배추,양파,우동면,표고버섯,후추"
"국수전골","한식","고춧가루,국수,느타리버섯,다진마늘,대파,물,배추,소금,쇠고기,식용유,애호박,양파,진간장,후춧가루"
"굴깍두기","한식","갓,고춧가루,굴,마늘,무,미나리,새우젓,설탕,소금,소금,실파"
"근대된장국","한식","고추장,고춧가루,근대,다진마늘,대파,된장,멸치,쇠고기"
"김치꽁치조림","한식","간장,고춧가루,김치,꽁치통조림,다진대파,다진마늘,물,설탕,참기름"
"김치동그랑땡","한식","감자,계란,김치,다진마늘,당근,두부,밀가루,소금,참빛고운포도씨유,피망,후춧가루"
"김치두부쌈","한식","깻잎,대파,돼지고기,두부,생강,소금,신김치,청고추"
"김치볶음밥","한식","감자,계란,김치,밥,소금,식용유,양파,햄,후춧가루"
