drinkTypeIndex,foodIndex
1,1
1,3
1,5
1,7
1,9
1,11
1,13
1,14
1,15
1,16
1,17
1,18
1,20
1,23
1,28
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,39
1,43
1,45
1,46
1,49
1,50
1,54
1,55
1,56
1,57
1,58
1,60
1,66
1,67
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,80
1,83
1,85
1,86
1,87
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,103
1,105
1,107
1,109
1,111
1,112
1,114
1,115
1,116
1,119
1,124
1,126
1,127
1,129
1,131
1,134
1,135
1,136
1,137
1,138
1,140
1,141
1,142
1,144
1,145
1,150
1,151
1,152
1,153
1,154
1,156
1,157
1,158
1,159
1,160
1,161
1,162
1,163
1,164
1,167
1,168
1,169
1,170
1,171
1,172
1,173
1,177
1,178
1,179
1,180
1,182
1,183
1,184
1,185
1,186
1,187
1,188
1,189
1,193
1,196
1,203
1,204
1,207
1,208
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,219
1,220
1,221
1,222
1,224
1,228
1,231
1,232
1,236
1,237
1,240
1,241
1,244
1,246
1,251
1,252
1,253
1,254
1,255
1,256
1,257
1,258
1,259
1,260
1,261
1,262
1,263
1,264
1,265
1,266
1,270
1,271
1,272
1,273
1,276
1,277
1,280
1,284
1,285
1,286
1,287
1,290
1,293
1,298
1,300
1,303
1,304
1,305
1,306
1,308
1,312
1,313
1,314
1,315
1,316
1,317
1,318
1,319
1,320
1,321
1,326
1,327
1,328
1,329
1,330
1,331
1,332
1,333
1,334
1,335
1,336
1,337
1,339
1,340
1,349
1,351
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,11
2,12
2,13
2,14
2,15
2,17
2,19
2,20
2,21
2,22
2,23
2,26
2,28
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,39
2,40
2,42
2,43
2,44
2,45
2,46
2,48
2,50
2,51
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,60
2,66
2,67
2,68
2,69
2,71
2,73
2,74
2,75
2,78
2,79
2,81
2,85
2,89
2,91
2,92
2,95
2,96
2,101
2,102
2,105
2,107
2,108
2,109
2,113
2,114
2,117
2,118
2,119
2,120
2,122
2,126
2,127
2,131
2,133
2,134
2,135
2,136
2,137
2,139
2,140
2,145
2,146
2,147
2,148
2,150
2,151
2,154
2,157
2,158
2,159
2,160
2,161
2,162
2,163
2,164
2,165
2,166
2,167
2,168
2,170
2,171
2,177
2,178
2,179
2,180
2,182
2,184
2,185
2,188
2,189
2,190
2,191
2,193
2,194
2,195
2,196
2,197
2,201
2,202
2,203
2,204
2,206
2,207
2,208
2,209
2,211
2,212
2,213
2,214
2,215
2,216
2,217
2,218
2,221
2,224
2,227
2,229
2,230
2,232
2,236
2,238
2,239
2,241
2,244
2,246
2,247
2,248
2,251
2,252
2,259
2,261
2,262
2,266
2,272
2,273
2,275
2,276
2,277
2,278
2,280
2,281
2,282
2,285
2,288
2,289
2,290
2,291
2,292
2,297
2,299
2,300
2,302
2,304
2,305
2,309
2,310
2,311
2,312
2,313
2,314
2,315
2,316
2,317
2,318
2,320
2,321
2,322
2,325
2,327
2,328
2,329
2,330
2,331
2,332
2,333
2,334
2,335
2,336
2,337
2,338
2,339
2,340
2,343
2,346
2,347
2,348
2,349
2,350
2,351
2,352
3,1
3,2
3,3
3,4
3,5
3,7
3,8
3,9
3,11
3,12
3,13
3,14
3,15
3,16
3,18
3,20
3,21
3,23
3,36
3,39
3,40
3,41
3,43
3,45
3,46
3,49
3,53
3,54
3,55
3,56
3,57
3,58
3,60
3,62
3,65
3,66
3,67
3,68
3,69
3,71
3,73
3,74
3,75
3,80
3,83
3,86
3,88
3,90
3,91
3,92
3,93
3,94
3,95
3,96
3,97
3,98
3,99
3,100
3,103
3,105
3,106
3,107
3,109
3,110
3,111
3,112
3,113
3,114
3,115
3,116
3,117
3,119
3,120
3,124
3,126
3,127
3,130
3,131
3,132
3,133
3,134
3,135
3,136
3,137
3,138
3,140
3,142
3,144
3,145
3,149
3,150
3,151
3,152
3,153
3,154
3,156
3,158
3,159
3,160
3,161
3,162
3,163
3,164
3,167
3,168
3,169
3,170
3,171
3,173
3,177
3,178
3,179
3,180
3,181
3,182
3,183
3,184
3,185
3,186
3,187
3,188
3,189
3,190
3,193
3,195
3,196
3,197
3,198
3,204
3,205
3,207
3,209
3,211
3,212
3,213
3,214
3,215
3,216
3,217
3,218
3,221
3,222
3,223
3,224
3,228
3,232
3,233
3,236
3,238
3,241
3,244
3,246
3,250
3,251
3,252
3,253
3,257
3,258
3,261
3,262
3,264
3,266
3,270
3,272
3,273
3,276
3,277
3,280
3,284
3,285
3,286
3,287
3,290
3,292
3,295
3,297
3,298
3,299
3,300
3,302
3,303
3,304
3,305
3,307
3,308
3,311
3,313
3,314
3,315
3,316
3,317
3,318
3,319
3,320
3,321
3,326
3,327
3,328
3,329
3,330
3,331
3,332
3,333
3,334
3,335
3,336
3,337
