tagIndex,tagName,stopwords,add_dictionary,mappingList
1,매실,,,매실
2,유자,,,유자
3,귤,,"귤, 감귤","귤, 감귤"
4,과일,,"과일, 과실","과일, 과실"
5,오미자,,,오미자
6,포도,,"포도, 거봉","포도, 거봉"
7,머루,,,머루
8,레몬,,,레몬
9,자두,,자두,자두
10,멜론,,"멜론, 메론","멜론, 메론"
11,오렌지,,,오렌지
12,참외,,,참외
13,딸기,,,딸기
14,복분자,,,복분자
15,오디,,,오디
16,누룩향,,누룩향,누룩향
17,솔향,,"솔향, 솔 향, 솔잎향","솔향, 솔 향, 솔잎향"
18,밤,,"밤맛, 밤 맛","밤맛, 밤 맛"
19,꿀향,,"꿀향, 꿀 향","꿀향, 꿀 향"
20,땅콩,,땅콩,땅콩
21,옥수수,,,옥수수
22,감자,,,감자
23,꽃향,,꽃향,꽃향
24,매화,,,매화
25,인삼,,,인삼
26,송이향,,송이향,송이향
27,요구르트,,"요쿠르트, 요구르트, 야쿠르트, 야구르트, 요거트","요쿠르트, 요구르트, 야쿠르트, 야구르트, 요거트"
28,오크향,,오크,오크
29,with 토닉워터,,"토닉, 토닉워터, 토닉 워터","토닉, 토닉워터, 토닉 워터"
30,with 고기,,고기,고기
31,with 해산물,,해산물,해산물
32,온더락,,"온더락, 언더락","온더락, 언더락"
33,하이볼,,하이볼,하이볼
34,반주,,반주,반주
35,낮술,,낮술,낮술
36,축하주,,축하주,축하주
37,식전주,,식전주,식전주
38,홈술,,"홈술, 홈 술","홈술, 홈 술"
39,혼술,,혼술,혼술
40,여름,,,여름
41,가을,,,가을
42,겨울,,,겨울
43,선물,,선물,선물
44,가정용,,"가족, 어머니, 아버지, 부모님","가족, 어머니, 아버지, 부모님"
45,파티용,,"집들이, 친구들, 지인, 파티","집들이, 친구들, 지인, 파티"
46,명절,,"추석, 설날, 명절, 새해","추석, 설날, 명절, 새해"
47,연말,,"크리스마스, 연말","크리스마스, 연말"
48,특별한 날,,"특별한날, 특별한 날","특별한날, 특별한 날"
49,생일,,"생일, 생신","생일, 생신"
50,여행,,"캠핑, 여행","캠핑, 여행"
51,프리미엄,,"고급, 프리미엄","고급, 프리미엄"
52,대통령상,,대통령상,대통령상
53,가성비,,가성비,가성비
54,수제,,수제,수제
55,패키징,,"디자인, 패키지, 패키징","디자인, 패키지, 패키징"
56,재구매,,"재구매, 재주문","재구매, 재주문"
57,달달함,"달지, 안달아서, 안 달아서","달지, 안달아서, 안 달아서, 단맛, 달다, 달아요, 달고, 달콤, 달아서, 달큰","단맛, 달다, 달아요, 달고, 달콤, 달아서, 달큰"
58,부드러움,"안 부드, 부드럽지","우유, 크리미, 안 부드, 부드럽지, 부드러운, 부드럽고, 부드러워서, 부드럽게","우유, 크리미, 부드러운, 부드럽고, 부드러워서, 부드럽게"
59,진함,"안 진합니다, 안진합니다, 안 진해요, 안진해요, 안 진하고, 안진하고, 안 진함, 안진함, 안 진한, 안진한","안 진합니다, 안진합니다, 안 진해요, 안진해요, 안 진하고, 안진하고, 안 진함, 안진함, 안 진한, 안진한, 진합니다, 진해요, 진하고, 진함, 진한, 진해서,  진하게","진합니다, 진해요, 진하고, 진함, 진한, 진해서, 진하게"
60,순함,,"순하고, 순해요, 순합니다, 순함, 순한","순하고, 순해요, 순합니다, 순함, 순한"
61,가벼움,,"가벼운, 가볍고, 가벼워서, 가볍습니다, 가벼움, 가벼워요, 라이트","가벼운, 가볍고, 가벼워서, 가볍습니다, 가벼움, 가벼워요, 라이트"
62,묵직함,,"묵직한, 묵직하고, 묵직해서, 묵직합니다, 묵직함, 묵직해요, 걸쭉, 걸죽","묵직한, 묵직하고, 묵직해서, 묵직합니다, 묵직함, 묵직해요, 걸쭉, 걸죽"
63,맑음,,"맑은, 맑고, 맑아서, 맑습니다, 맑음, 맑아요","맑은, 맑고, 맑아서, 맑습니다, 맑음, 맑아요"
64,청량,,"청량, 스파클링, 탄산, 톡쏘는, 톡","청량, 스파클링, 탄산, 톡쏘는, 톡"
65,상큼,,"상큼, 새콤","상큼, 새콤"
66,깔끔,,"깔끔, 산뜻","깔끔, 산뜻"
67,시원,,시원,시원
68,은은,,은은,은은
69,고소함,,"고소, 구수","고소, 구수"
70,숙성,,"숙성, 발효, 풍부, 풍미","숙성, 발효, 풍부, 풍미"
71,드라이,,드라이,드라이
72,산미,,"산미, 신맛","산미, 신맛"
